id,fullName,season,age,weight,height,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,ot,shutouts,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,ties
8475760,Nick Bjugstad,2018 - 2019,26-197d,209,"6' 6""",463:53,7.0,5.0,16.0,60.0,32,44.0,1.0,3.0,56:52,406:29,16,50.99,8.33,1.0,0.0,0.0,0.0,00:32,18.0,2.0,12.0,650.0,,,,,,,,,,,,,,,,,,,,
8475790,Erik Gudbranson,2014 - 2015,23-24d,222,"6' 5""",1414:58,9.0,4.0,58.0,110.0,76,212.0,0.0,4.0,67:09,1182:01,58,0.0,3.64,0.0,0.0,0.0,0.0,165:48,75.0,-4.0,13.0,1830.0,,,,,,,,,,,,,,,,,,,,
8475790,Erik Gudbranson,2015 - 2016,24-24d,222,"6' 5""",1287:12,7.0,2.0,49.0,73.0,64,150.0,0.0,0.0,21:15,1058:50,49,0.0,2.74,0.0,0.0,0.0,0.0,207:07,73.0,3.0,9.0,1488.0,,,,,,,,,,,,,,,,,,,,
8476389,Vincent Trocheck,2014 - 2015,21-203d,184,"5' 11""",700:16,15.0,7.0,24.0,89.0,50,93.0,1.0,1.0,45:18,649:58,24,48.65,7.87,0.0,0.0,0.0,0.0,05:00,19.0,9.0,22.0,859.0,,,,,,,,,,,,,,,,,,,,
8476389,Vincent Trocheck,2015 - 2016,22-203d,184,"5' 11""",1350:32,28.0,25.0,44.0,174.0,76,125.0,4.0,13.0,203:43,1086:34,44,49.46,14.37,4.0,0.0,1.0,1.0,60:15,41.0,15.0,53.0,1618.0,,,,,,,,,,,,,,,,,,,,
8476389,Vincent Trocheck,2016 - 2017,23-204d,184,"5' 11""",1707:53,31.0,23.0,43.0,230.0,82,164.0,2.0,12.0,224:07,1326:26,43,50.18,10.0,2.0,1.0,0.0,1.0,157:20,51.0,-13.0,54.0,2101.0,,,,,,,,,,,,,,,,,,,,
8476389,Vincent Trocheck,2017 - 2018,24-204d,184,"5' 11""",1751:52,44.0,31.0,54.0,287.0,82,145.0,13.0,27.0,285:13,1318:31,54,54.09,10.8,5.0,0.0,3.0,4.0,148:08,55.0,-9.0,75.0,2168.0,,,,,,,,,,,,,,,,,,,,
8476389,Vincent Trocheck,2018 - 2019,25-203d,184,"5' 11""",1081:16,24.0,10.0,54.0,158.0,55,112.0,3.0,13.0,135:31,855:35,54,51.82,6.33,1.0,0.0,1.0,1.0,90:10,42.0,-9.0,34.0,1366.0,,,,,,,,,,,,,,,,,,,,
8476389,Vincent Trocheck,2019 - 2020,26-203d,184,"5' 11""",927:28,26.0,10.0,33.0,129.0,55,83.0,0.0,5.0,107:40,796:02,33,52.33,7.8,1.0,0.0,1.0,1.0,23:46,33.0,-3.0,36.0,1137.0,,,,,,,,,,,,,,,,,,,,
8476428,Rocco Grimaldi,2014 - 2015,21-356d,180,"5' 6""",88:16,0.0,1.0,4.0,18.0,7,7.0,0.0,0.0,02:38,85:38,4,42.86,5.56,0.0,0.0,0.0,0.0,00:00,1.0,1.0,1.0,127.0,,,,,,,,,,,,,,,,,,,,
8476428,Rocco Grimaldi,2015 - 2016,22-356d,180,"5' 6""",237:18,2.0,3.0,2.0,29.0,20,17.0,0.0,0.0,10:12,226:48,2,43.52,10.34,0.0,0.0,0.0,0.0,00:18,2.0,-4.0,5.0,303.0,,,,,,,,,,,,,,,,,,,,
8476456,Jonathan Huberdeau,2014 - 2015,21-240d,200,"6' 1""",1323:05,39.0,15.0,38.0,169.0,79,68.0,0.0,12.0,185:21,1127:24,38,25.0,8.88,0.0,0.0,0.0,0.0,10:20,24.0,10.0,54.0,1636.0,,,,,,,,,,,,,,,,,,,,
8476456,Jonathan Huberdeau,2015 - 2016,22-240d,200,"6' 1""",1378:55,39.0,20.0,43.0,174.0,76,53.0,4.0,13.0,204:58,1133:59,43,38.89,11.49,2.0,0.0,1.0,1.0,39:58,36.0,17.0,59.0,1639.0,,,,,,,,,,,,,,,,,,,,
8476456,Jonathan Huberdeau,2016 - 2017,23-241d,200,"6' 1""",555:30,16.0,10.0,13.0,86.0,31,18.0,3.0,7.0,78:45,473:52,13,44.44,11.63,2.0,1.0,0.0,0.0,02:53,7.0,-2.0,26.0,697.0,,,,,,,,,,,,,,,,,,,,
8476456,Jonathan Huberdeau,2017 - 2018,24-241d,200,"6' 1""",1574:55,42.0,27.0,32.0,204.0,82,41.0,7.0,19.0,278:02,1288:45,32,47.73,13.24,4.0,0.0,0.0,0.0,08:08,42.0,-2.0,69.0,1912.0,,,,,,,,,,,,,,,,,,,,
8476456,Jonathan Huberdeau,2018 - 2019,25-240d,200,"6' 1""",1545:59,62.0,30.0,40.0,226.0,82,57.0,11.0,34.0,279:58,1252:01,40,63.16,13.27,5.0,0.0,0.0,0.0,14:00,45.0,-14.0,92.0,1846.0,,,,,,,,,,,,,,,,,,,,
8476456,Jonathan Huberdeau,2019 - 2020,26-240d,200,"6' 1""",1295:13,55.0,23.0,30.0,152.0,69,51.0,5.0,29.0,246:26,1047:09,30,39.34,15.1,3.0,1.0,0.0,0.0,01:38,26.0,5.0,78.0,1490.0,,,,,,,,,,,,,,,,,,,,
8476456,Jonathan Huberdeau,2020 - 2021,27-241d,200,"6' 1""",1012:34,41.0,20.0,36.0,122.0,55,51.0,5.0,24.0,237:16,774:12,36,43.59,16.4,1.0,1.0,0.0,0.0,01:06,11.0,12.0,61.0,1166.0,,,,,,,,,,,,,,,,,,,,
8476456,Jonathan Huberdeau,2021 - 2022,28-241d,200,"6' 1""",1553:58,85.0,30.0,54.0,222.0,80,99.0,5.0,38.0,295:08,1112:22,54,33.33,13.5,7.0,2.0,3.0,5.0,146:28,28.0,35.0,115.0,1839.0,,,,,,,,,,,,,,,,,,,,
8477493,Aleksander Barkov,2014 - 2015,19-151d,215,"6' 3""",1242:25,20.0,16.0,16.0,123.0,71,35.0,3.0,7.0,160:55,1049:02,16,46.11,13.01,3.0,0.0,0.0,0.0,32:28,35.0,-4.0,36.0,1516.0,,,,,,,,,,,,,,,,,,,,
8477493,Aleksander Barkov,2015 - 2016,20-151d,215,"6' 3""",1282:23,31.0,28.0,8.0,171.0,66,43.0,9.0,16.0,187:35,976:42,8,49.22,16.37,8.0,0.0,1.0,2.0,118:06,39.0,18.0,59.0,1517.0,,,,,,,,,,,,,,,,,,,,
8477493,Aleksander Barkov,2016 - 2017,21-151d,215,"6' 3""",1183:30,31.0,21.0,10.0,142.0,61,39.0,3.0,14.0,177:29,927:57,10,46.53,14.79,5.0,2.0,0.0,0.0,78:04,30.0,13.0,52.0,1469.0,,,,,,,,,,,,,,,,,,,,
8477493,Aleksander Barkov,2017 - 2018,22-151d,215,"6' 3""",1743:32,51.0,27.0,14.0,256.0,79,30.0,5.0,17.0,267:10,1337:52,14,53.51,10.55,3.0,0.0,5.0,5.0,138:30,67.0,9.0,78.0,2155.0,,,,,,,,,,,,,,,,,,,,
8477493,Aleksander Barkov,2018 - 2019,23-151d,215,"6' 3""",1833:01,61.0,35.0,8.0,206.0,82,28.0,13.0,31.0,288:19,1375:06,8,53.69,16.99,5.0,2.0,0.0,1.0,169:36,61.0,-3.0,96.0,2218.0,,,,,,,,,,,,,,,,,,,,
8477493,Aleksander Barkov,2019 - 2020,24-151d,215,"6' 3""",1321:00,42.0,20.0,18.0,172.0,66,21.0,7.0,20.0,223:45,1023:46,18,54.28,11.6,2.0,0.0,0.0,1.0,73:29,35.0,2.0,62.0,1529.0,,,,,,,,,,,,,,,,,,,,
8477493,Aleksander Barkov,2020 - 2021,25-151d,215,"6' 3""",1046:52,32.0,26.0,14.0,176.0,50,31.0,7.0,19.0,199:33,776:04,14,54.87,14.8,6.0,2.0,1.0,1.0,71:15,37.0,12.0,58.0,1208.0,,,,,,,,,,,,,,,,,,,,
